iter	RMSE
0	102.4078216
1	98.85775211
2	95.79598922
3	93.23730722
4	91.03222976
5	89.08878507
6	87.53415228
7	86.13377981
8	84.98175159
9	84.03976144
10	83.2063959
11	82.50868795
12	81.84251912
13	81.28080428
14	80.76487239
15	80.29395598
16	79.92701778
17	79.60882656
18	79.34985076
19	79.08152028
20	78.87537663
21	78.66264788
22	78.46865316
23	78.35064936
24	78.18204076
25	78.05605661
26	77.94115268
27	77.84905159
28	77.74600115
29	77.64921925
30	77.55859689
31	77.44589944
32	77.34289026
33	77.26199015
34	77.19478838
35	77.10888531
36	77.04925184
37	76.97987301
38	76.88824566
39	76.81757683
40	76.72880752
41	76.67902594
42	76.57137406
43	76.50049117
44	76.45318365
45	76.39574042
46	76.36149282
47	76.27695005
48	76.22218483
49	76.1851605
50	76.11567858
51	76.09541256
52	76.06807496
53	76.03300521
54	75.96237833
55	75.91550883
56	75.88866837
57	75.84511034
58	75.75323107
59	75.73106517
60	75.70328003
61	75.64705264
62	75.60755519
63	75.50642941
64	75.4862672
65	75.41509013
66	75.37189485
67	75.32573761
68	75.28874463
69	75.25220843
70	75.23010544
71	75.19436649
72	75.17216593
73	75.1400189
74	75.11436408
75	75.07436439
76	75.04626494
77	75.02313832
78	74.98616057
79	74.97268255
80	74.95149329
81	74.89614435
82	74.86417532
83	74.83544639
84	74.81510908
85	74.80043013
86	74.77985317
87	74.74710662
88	74.69343151
89	74.6612324
90	74.62358576
91	74.60441959
92	74.58456649
93	74.55167581
94	74.53562123
95	74.50640056
96	74.42640707
97	74.40206819
98	74.36748048
99	74.34085987
