iter	Passed	Remaining
0	63	6327
1	102	5042
2	134	4347
3	167	4031
4	196	3738
5	222	3487
6	249	3315
7	287	3308
8	320	3236
9	345	3110
10	373	3024
11	401	2942
12	427	2862
13	454	2793
14	481	2726
15	506	2656
16	524	2561
17	550	2507
18	576	2457
19	607	2431
20	631	2375
21	656	2326
22	680	2277
23	704	2230
24	723	2170
25	747	2128
26	780	2109
27	814	2094
28	838	2052
29	865	2020
30	894	1991
31	927	1970
32	960	1950
33	1000	1942
34	1044	1939
35	1101	1957
36	1140	1942
37	1167	1905
38	1201	1879
39	1233	1850
40	1266	1822
41	1295	1788
42	1331	1765
43	1361	1733
44	1392	1701
45	1420	1667
46	1456	1642
47	1484	1608
48	1522	1584
49	1554	1554
50	1581	1519
51	1614	1490
52	1645	1459
53	1682	1433
54	1710	1399
55	1741	1368
56	1772	1337
57	1804	1306
58	1835	1275
59	1868	1245
60	1906	1218
61	1953	1197
62	1992	1170
63	2023	1138
64	2074	1116
65	2107	1085
66	2150	1058
67	2205	1037
68	2253	1012
69	2290	981
70	2338	954
71	2379	925
72	2411	892
73	2444	858
74	2475	825
75	2519	795
76	2559	764
77	2588	730
78	2615	695
79	2657	664
80	2692	631
81	2720	597
82	2748	562
83	2801	533
84	2827	499
85	2852	464
86	2884	430
87	2910	396
88	2939	363
89	2972	330
90	3007	297
91	3051	265
92	3082	231
93	3114	198
94	3141	165
95	3169	132
96	3199	98
97	3225	65
98	3248	32
99	3273	0
