location_name,latitude,longitude
manhattan_center,40.758,-73.9855
central_park,40.785091,-73.968285
times_square,40.758896,-73.98513
wall_street,40.706001,-74.008801
brooklyn_bridge,40.706086,-73.996864
empire_state_building,40.748817,-73.985428
statue_of_liberty,40.689247,-74.044502
jfk_airport,40.641311,-73.778139
la_guardia_airport,40.776927,-73.873965
yankee_stadium,40.829643,-73.926175
metropolitan_museum,40.779437,-73.963244
staten_island_greenbelt,40.588431,-74.139188
ubs_arena,40.711752,-73.726042
coney_island_beach,40.572109,-73.979354
bronx_zoo,40.849896,-73.876733
