Feature,Importance
dist_coney_island_beach,1.071144091207262
latitude,1.2437149197390913
dist_statue_of_liberty,1.8596447228355382
dist_central_park,1.87063103254245
dist_la_guardia_airport,1.8965732538862765
dist_jfk_airport,2.1984529300702333
dist_ubs_arena,2.316135460788174
dist_wall_street,2.412958003310545
longitude,2.483457089548042
reviews_por_mes,2.725858505998664
min_nights_category,3.3702702069501784
numero_de_reviews,3.5232732481542643
nome_sentiment,3.676210783704139
tempo_desde_ultimo_review,3.682651984605177
dist_manhattan_center,3.781458734470485
trimestre_review,3.8265895175898703
bairro,4.816281655239471
calculado_host_listings_count,5.280566305735193
minimo_noites,5.388649919935475
preco_medio_bairro,8.06106928836665
disponibilidade_365,12.471141767839912
room_type,22.043266577482832
